TITLE,ID,VIEWS,ACTUAL LIKES
Ed Sheeran - Perfect (Official Music Video),2Vv-BfVoq4g,2153454060,10772890
Ed Sheeran - Thinking Out Loud [Official Video],lp-EO5I60KA,2825355246,9990092
Ed Sheeran - Beautiful People (feat. Khalid) [Official Video],mj0XInqZMHY,104470214,1622009
Perfect - Ed Sheeran (Lyrics),UDDMYw_IZnE,742994570,2574116
Ed Sheeran - Photograph (Official Music Video),nSDgHBxUbVQ,856950018,4251033
photograph ed sheren,j3TjKsLXH-o,2071,13
Ed sheren (shape of you),JQrFbHE9tZk,9246,38
edsheren-thinking out loud,2VDUtR6tpZA,21,0
Perfect- (ed sheren),rnP5GvqB51g,69,1
Ed sheren - Perfect ( LYRIC ),1R7EqJfLi3s,872,0
singin ed sheren super market flowers,ikg39KHWS0c,15,3
Edsheren perfect cover,MyCuEg_tFhI,10,0
